id	主题1	主题2	主题3
1079	6	18	19
10790	2	26	18
10791	18	19	1
10793	18	1	19
10794	10	18	19
10795	5	18	19
10796	5	18	19
10797	4	18	19
10799	10	23	13
108	14	18	4
1080	25	8	18
10800	13	18	19
10801	13	18	19
10802	13	18	19
10803	13	7	18
10804	13	6	18
10805	1	18	19
10806	4	8	18
10807	3	18	16
10808	5	25	18
10809	5	10	18
1081	24	9	12
10810	13	11	6
10811	6	19	18
10812	13	19	17
10813	13	19	8
10814	12	19	24
10815	19	13	18
10816	23	26	19
10817	19	18	1
10818	13	20	18
10819	18	23	19
1082	17	5	19
10820	1	4	18
10821	26	1	18
10822	1	5	11
10823	24	4	11
10825	19	12	17
10829	5	1	24
1083	8	6	12
10830	21	9	24
10831	1	18	19
10832	21	18	15
10833	20	6	11
10834	4	20	18
10837	4	19	1
10838	2	9	18
1084	2	21	18
10841	19	13	18
10842	19	13	3
10843	17	4	18
10844	20	24	18
10845	18	3	19
10846	2	18	19
10847	9	12	25
10848	25	1	19
10849	25	26	18
1085	15	11	12
10851	1	4	26
10852	9	26	19
10853	18	3	10
10854	12	24	11
10855	15	18	19
10857	11	7	6
10858	18	19	1
10859	22	19	23
1086	15	18	19
10860	13	3	18
10861	9	1	2
10862	26	12	15
10863	7	18	19
10864	13	18	19
10866	11	19	4
10867	20	21	18
10868	15	18	19
10869	19	1	18
1087	18	16	19
10871	13	11	18
10872	5	19	17
10873	15	19	21
10874	13	3	16
10875	12	21	26
10876	5	21	18
10877	13	18	19
10878	15	8	4
10879	25	8	22
1088	19	6	18
10880	1	24	18
10881	13	18	24
10882	3	18	19
10883	16	19	23
10884	16	23	24
10885	13	24	6
10886	4	21	3
10888	20	16	6
10889	6	1	18
1089	19	15	18
10890	3	18	19
10891	13	12	18
10892	15	19	18
10893	9	1	10
10894	4	17	24
10895	5	9	23
10896	20	9	21
10897	24	12	20
10898	26	18	19
10899	16	18	19
109	16	24	25
1090	9	21	18
10900	19	17	6
10901	17	18	19
10902	3	18	19
10904	4	20	7
10905	21	4	12
10906	18	3	20
10907	3	1	10
10908	20	3	18
10909	13	19	10
1091	15	22	18
10910	3	18	16
10911	18	19	1
10912	4	18	24
10913	21	10	17
10915	18	6	19
10916	1	18	19
10918	4	18	19
10919	13	18	19
1092	11	9	4
10920	23	19	24
10922	1	12	18
10923	19	17	18
10924	5	4	18
10925	17	19	2
10926	20	9	18
10927	11	7	21
10928	11	2	18
10929	1	14	2
1093	12	1	18
10930	13	19	7
10932	13	18	19
10933	24	5	19
10934	13	18	19
10935	7	13	18
10936	1	18	19
10937	15	18	19
10938	25	15	18
10939	3	18	21
1094	6	4	23
10940	19	7	25
10941	3	11	18
10942	13	6	19
10943	1	20	18
10944	7	19	2
10945	9	18	2
10946	13	19	3
10947	19	7	22
10948	6	7	18
10949	4	7	19
1095	25	9	6
10950	4	26	18
10951	21	3	15
10952	13	20	1
10953	7	22	24
10954	7	4	18
10955	13	19	18
10956	20	6	18
10957	13	20	16
10959	8	13	3
1096	9	18	19
10960	13	18	10
10962	13	3	18
10963	19	2	17
10964	11	20	15
10967	18	3	19
10968	9	1	19
10969	1	23	12
1097	9	22	18
10970	16	1	18
10972	12	18	19
10973	5	2	18
10974	6	25	18
10975	6	10	18
10976	16	5	23
10977	13	5	18
10978	3	24	18
10979	26	18	19
1098	16	7	18
10980	13	25	16
10981	6	18	19
10982	18	21	24
10983	25	6	18
10984	21	3	18
10985	18	10	19
10986	3	20	1
10987	3	21	18
10988	18	21	19
10989	4	17	1
1099	8	6	14
10990	4	19	6
10991	3	18	19
10992	13	3	18
10993	3	18	19
10995	18	3	19
10996	4	9	14
10997	5	18	19
10998	3	21	12
10999	20	18	19
11	25	17	18
110	25	22	12
1100	10	14	18
11000	5	24	18
11001	3	5	18
11002	14	18	19
11003	15	24	18
11004	3	5	18
11005	11	4	18
11006	19	17	6
11007	3	18	19
11009	11	26	18
1101	18	12	1
11010	3	5	18
11011	5	19	18
11012	5	3	18
11013	18	8	19
11014	18	23	19
11015	3	22	18
11017	18	20	19
11018	19	24	18
11019	9	19	13
1102	16	18	21
11020	18	22	25
11021	13	19	18
11022	18	16	23
11023	18	19	1
11024	18	3	19
11025	24	3	20
11026	21	6	20
11027	8	10	7
11028	18	3	19
11029	3	18	19
1103	17	6	13
11030	6	18	19
11031	18	3	24
11032	18	19	1
11034	4	3	18
11035	18	13	15
11036	3	12	19
11037	14	11	8
11038	5	18	19
11039	5	17	18
1104	18	8	19
11040	20	3	4
11041	3	18	19
11042	16	18	5
11043	18	6	14
11044	21	18	19
11045	6	3	24
11046	11	3	18
11047	3	18	19
11048	5	4	6
11049	3	20	18
1105	7	19	18
11050	9	3	1
11051	7	21	18
11052	18	19	1
11053	18	19	1
11054	18	12	13
11055	19	18	3
11056	4	18	19
11057	10	21	25
11058	9	13	18
11059	4	18	19
1106	24	18	19
11060	3	19	18
11061	4	18	19
11063	6	20	26
11064	1	9	19
11065	23	6	19
11066	25	10	18
11067	11	3	18
11068	18	3	19
11069	3	5	18
1107	26	9	18
11070	3	18	19
11071	3	18	19
11073	16	3	6
11074	21	6	11
11075	11	8	18
11076	3	26	18
11077	18	3	7
11078	15	18	7
11079	5	20	11
1108	20	18	19
11080	18	3	19
11081	3	18	19
11082	18	13	3
11083	18	19	1
11084	18	19	1
11085	4	15	6
11086	3	18	19
11087	5	10	18
11088	3	18	19
11089	16	5	4
1109	14	8	18
11090	3	5	18
11091	23	18	19
11092	3	18	5
11093	20	18	19
11094	5	18	19
11095	18	16	3
11096	3	18	19
11097	19	23	5
11098	18	12	22
11099	3	18	20
111	18	19	1
1110	24	1	25
11100	14	18	19
11101	18	13	16
11102	3	18	19
11103	21	18	6
11104	3	21	26
11105	3	18	19
11106	3	24	7
11108	12	18	19
1111	25	19	18
11110	10	9	1
11111	18	3	19
11113	18	12	26
11114	25	11	18
11115	3	18	19
11116	24	17	15
11117	16	4	18
11118	3	18	19
11119	3	26	18
1112	19	18	1
11120	13	9	18
11121	13	17	18
11122	18	13	19
11123	5	18	25
11124	14	18	16
11125	6	3	18
11126	16	18	6
11127	12	7	18
11128	3	18	19
11129	21	14	18
1113	19	14	18
11130	20	18	19
11131	6	18	19
11132	18	4	19
11133	4	18	19
11134	21	18	19
11135	18	12	3
11136	18	5	19
11137	5	18	19
11138	5	18	19
11139	9	19	18
1114	4	18	20
11140	3	10	18
11141	5	19	13
11142	5	3	15
11143	18	3	19
11144	24	12	6
11145	3	5	18
11146	20	18	19
11147	3	23	22
11148	3	18	6
11149	8	18	19
1115	6	1	18
11150	13	18	19
11151	6	18	19
11152	3	18	19
11153	18	19	21
11154	3	24	18
11155	21	18	19
11156	16	3	18
11157	15	18	19
11158	17	20	18
11159	21	18	19
1116	19	23	18
11160	18	10	19
11161	17	18	25
11162	5	16	18
11164	9	19	18
11165	3	25	18
11166	18	19	1
11167	13	19	26
11168	18	14	25
11169	8	18	19
1117	22	26	18
11170	3	18	19
11171	3	18	25
11172	16	19	18
11173	5	18	19
11174	13	3	18
11176	21	14	25
11177	4	17	18
11178	3	18	19
11179	21	6	19
1118	22	18	25
11180	9	16	19
11181	9	17	18
11182	3	18	19
11183	3	10	13
11184	8	23	19
11185	13	18	19
11186	4	19	18
11187	16	4	18
11188	3	7	18
11189	18	24	4
1119	14	1	16
11190	20	15	21
11191	9	18	19
11192	3	18	10
11193	4	20	15
11194	21	15	3
11195	6	18	19
11196	4	18	19
11198	3	18	19
11199	9	13	1
112	9	18	19
1120	11	15	18
11200	18	25	3
11201	13	6	18
11202	11	18	19
11203	4	11	19
11204	12	20	18
11205	18	19	1
11206	3	18	19
11207	3	18	13
11208	3	1	2
11209	3	24	18
1121	2	12	25
11210	3	20	10
11211	20	18	5
11212	15	13	10
11213	3	6	21
11214	18	24	19
11215	5	7	18
11216	17	19	24
11217	3	10	18
11218	3	18	19
11219	21	4	3
1122	15	2	19
11220	20	18	19
11221	5	18	19
11222	5	18	19
11223	5	2	18
11224	11	20	18
11226	17	18	19
11227	18	21	19
11228	16	1	18
11229	18	19	1
1123	19	7	25
11230	9	3	18
11231	13	18	19
11233	20	3	15
11234	16	7	3
11235	18	9	19
11236	3	18	20
11237	5	18	19
11238	3	6	18
11239	17	18	19
1124	12	11	18
11240	26	19	6
11241	21	18	19
11242	21	18	11
11243	17	18	19
11244	3	18	19
11245	10	1	18
11246	15	18	19
11247	24	14	18
11248	13	24	11
11249	11	18	19
1125	21	24	19
11250	3	26	18
11252	4	21	18
11253	5	16	4
11254	4	11	18
11255	18	1	25
11257	13	18	19
11258	18	21	5
11259	13	3	18
1126	23	18	19
